2026-01-16 23:26:15.314 | INFO     | synthefy_pkg.utils.scaling_utils:transform_using_scaler:616 - Transforming windows of type `continuous` with scalers: {'awake_mins': [{'scaler': StandardScaler()}], 'age': [{'scaler': StandardScaler()}], 'low_activity_time': [{'scaler': StandardScaler()}], 'deep_mins': [{'scaler': StandardScaler()}], 'sleep_duration': [{'scaler': StandardScaler()}], 'restored_duration': [{'scaler': StandardScaler()}], 'non_wear_time': [{'scaler': StandardScaler()}], 'rem_mins': [{'scaler': StandardScaler()}], 'steps': [{'scaler': StandardScaler()}], 'active_calories': [{'scaler': StandardScaler()}]}
2026-01-16 23:26:16.036 | INFO     | services.demo_synthesis_service:generate:430 - Running synthesis model inference...
2026-01-16 23:26:16.037 | INFO     | services.demo_synthesis_service:generate:431 - Continuous shape: (1, 192, 10), Discrete shape: (1, 192, 2)
2026-01-16 23:26:16.037 | INFO     | services.demo_synthesis_service:generate:463 - Running batched synthesis with 2 sample(s)...
2026-01-16 23:26:16.037 | INFO     | services.demo_synthesis_service:generate:476 - Batched conditions: continuous=(2, 192, 10), discrete=(2, 192, 2)
2026-01-16 23:26:21.130 | INFO     | services.demo_synthesis_service:experiment:172 - Loading synthesis config from: /home/raimi/synthefy-package-external/examples/configs/synthesis_configs/config_oura_subset_synthesis.yaml
2026-01-16 23:26:21.136 | INFO     | services.demo_synthesis_service:experiment:196 - Set random inference_seed: 87527
2026-01-16 23:26:21.136 | INFO     | services.demo_synthesis_service:experiment:198 - Using denoiser: flexible_patched_diffusion_transformer for model_type: flexible
2026-01-16 23:26:21.136 | INFO     | services.demo_synthesis_service:experiment:201 - Using task_type: synthesis
2026-01-16 23:26:21.142 | WARNING  | synthefy_pkg.configs.dataset_configs:set_constraint_parameters:137 - Will use predetermined_constraint_values from saved constraints from preprocessing
2026-01-16 23:35:19.931 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:150 - Loading scalers and encoders for dataset: oura_subset
2026-01-16 23:35:19.931 | INFO     | services.demo_synthesis_service:_load_scalers_and_encoders:158 - Loaded encoders: ['onehot']
2026-01-16 23:35:19.931 | WARNING  | synthefy_pkg.preprocessing.base_config:get_configs:184 - Using configuration from file: /home/raimi/synthefy-package-external/examples/configs/preprocessing_configs/config_oura_subset_preprocessing.json
2026-01-16 23:35:19.931 | WARNING  | synthefy_pkg.preprocessing.base_config:__post_init__:139 - Using DEFAULT output path: /home/raimi/data/oura_subset
2026-01-16 23:35:19.931 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:734 - Memory monitoring not enabled: invalid configuration
2026-01-16 23:35:19.932 | INFO     | synthefy_pkg.preprocessing.preprocess:validate_config:1071 - Train stride: 32, Val stride: 32, Test stride: 32
2026-01-16 23:35:19.932 | WARNING  | synthefy_pkg.preprocessing.preprocess:__post_init__:757 - Shuffle is set to False in the preprocessing config file. Verify this is intended.
2026-01-16 23:35:19.932 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:764 - Window size: 192
2026-01-16 23:35:19.932 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:765 - Stride: 32
2026-01-16 23:35:19.932 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:767 - Group labels: ['user_id']
2026-01-16 23:35:19.932 | INFO     | synthefy_pkg.preprocessing.preprocess:__post_init__:768 - Timeseries columns: 3
